trial_number,seed,wall_time_s,accuracy,inference_ms,param_count,arch_type,num_conv_layers,num_channels,num_fc_units,learning_rate,batch_size,num_epochs,dropout_rate,optimizer_type,input_resolution
79,121,20.914,0.527100,0.159952,11402,plain,1,32,256,0.0003845974353586484,64,9,0.31299314322150645,SGD,28
80,122,8.003,0.730600,0.162675,7114,plain,1,16,256,0.003893673554860431,128,5,0.4202611882453909,Adam,16
81,123,26.388,0.825100,0.300700,23818,plain,2,32,64,0.0016780594698779623,64,10,0.026571225729783238,SGD,28
82,124,12.491,0.826800,0.266309,8218,plain,2,8,256,0.000515298223346328,128,8,0.1799905943162303,Adam,16
83,125,6.388,0.531900,0.160088,2538,plain,1,8,128,0.0043728067184313,256,5,0.010806039940165213,SGD,28
84,126,7.614,0.807900,0.777247,28618,plain,2,32,128,0.009023398377615741,256,6,0.004601786508028491,SGD,28
85,127,12.401,0.802400,0.783460,28618,plain,2,32,128,0.0009046056357304309,128,8,0.20378353312912056,SGD,16
86,128,16.106,0.705000,0.160189,3658,plain,1,16,128,0.003056073689440243,64,7,0.4041257360321509,SGD,16
87,129,12.080,0.643900,0.177299,1930,plain,1,16,64,0.006263089059429998,128,9,0.24127503786309337,SGD,28
88,130,9.399,0.892600,1.265530,70186,plain,4,16,128,0.004715966051780924,128,5,0.008564851047579772,SGD,28
89,131,30.105,0.901600,1.660936,18074,plain,4,8,64,0.0015052419397710115,64,9,0.4956321848914084,Adam,28
90,132,6.594,0.893600,1.442810,65386,plain,4,16,64,0.0048618028579218925,256,5,0.4041257360321509,SGD,28
91,133,11.937,0.669100,0.178530,3658,plain,1,16,128,0.0066216943472728225,64,5,0.2741050434665099,Adam,28
92,134,21.161,0.864600,0.236539,15914,plain,2,16,256,0.00444020956990515,64,8,0.4772757287937174,Adam,16
93,135,15.404,0.662400,0.232556,2538,plain,1,8,128,0.006351552536447447,64,7,0.24582420003792538,SGD,28
94,136,7.956,0.760500,0.170642,11402,plain,1,32,256,0.005540258212573378,128,5,0.14209550470769072,Adam,16
95,137,12.452,0.909600,1.764614,26330,plain,4,8,256,0.004627725974531223,256,10,0.4619785333997585,Adam,28
96,138,15.107,0.913100,1.431334,79786,plain,4,16,256,0.003819795537286906,128,8,0.4740528057937483,Adam,28
97,139,12.189,0.857400,1.992276,18074,plain,4,8,64,0.0028899137005885915,128,7,0.27981971512107984,SGD,16
98,140,12.467,0.681900,0.159596,2538,plain,1,8,128,0.006622545982121681,64,5,0.3187617115032279,SGD,16
99,141,8.827,0.597200,0.864000,5898,plain,1,32,128,0.0029430016400891694,128,6,0.09680163921105056,SGD,28
100,142,17.318,0.911800,1.603605,276554,plain,4,32,256,0.006651904937108262,64,5,0.3595787632068198,SGD,28
101,143,14.051,0.696500,0.124396,3658,plain,1,16,128,0.005596479535846681,128,9,0.15475131991262203,SGD,16
102,144,16.836,0.909500,1.639430,65386,plain,4,16,64,0.002018298168678082,128,9,0.16718181113704061,Adam,28
103,145,23.197,0.882800,1.074351,38218,plain,2,32,256,0.00784114310897307,64,8,0.46337456665317345,Adam,28
104,146,20.310,0.906900,1.442635,65386,plain,4,16,64,0.004069804745786304,64,6,0.45800592256880396,Adam,28
105,147,18.496,0.655000,0.168733,1322,plain,1,8,64,0.004198748621535323,64,8,0.18546114193121938,Adam,28
106,148,6.699,0.874800,1.943624,79786,plain,4,16,256,0.0011978706978880396,256,5,0.445838633127457,SGD,28
107,149,6.599,0.750700,1.064424,15914,plain,2,16,256,0.007110101933474169,256,5,0.2021070095380556,SGD,28
108,150,30.300,0.909200,2.351496,258762,plain,4,32,128,0.004440380401791271,64,9,0.13755437724339187,SGD,28
109,151,24.898,0.842400,0.335941,7658,plain,2,16,64,0.0050154373032826015,64,8,0.48607208013465975,Adam,28
110,152,14.293,0.915400,1.935495,65386,plain,4,16,64,0.000570548658909243,128,7,0.08350638664251364,Adam,28
111,153,8.034,0.708800,0.128804,1930,plain,1,16,64,0.0026746690299852775,128,5,0.33038928682844976,Adam,16
112,154,12.041,0.650300,0.144559,3658,plain,1,16,128,0.005639842608982912,64,5,0.12044573511056461,SGD,28
113,155,28.330,0.901200,1.707682,79786,plain,4,16,256,0.004589321619732684,64,8,0.0073807507286217655,Adam,16
114,156,19.608,0.742900,0.161202,7114,plain,1,16,256,0.0009388549468889682,64,8,0.18088405890541395,Adam,16
115,157,11.310,0.740000,0.133552,5898,plain,1,32,128,0.003022105770587287,128,7,0.08230390879100907,Adam,16
