trial_number,seed,wall_time_s,phase,accuracy,inference_ms,param_count,arch_type,num_conv_layers,num_channels,num_fc_units,learning_rate,batch_size,num_epochs,dropout_rate,optimizer_type,input_resolution
53,95,78.534,bo,0.723700,0.261147,3658,plain,1,16,128,0.01,16,10,0.13247732115004907,Adam,16
54,96,77.350,bo,0.709000,0.537699,5898,plain,1,32,128,0.01,16,10,0.2938959938388156,SGD,16
55,97,71.202,bo,0.749500,0.792815,28618,plain,2,32,128,0.006007905884259814,64,10,0.06664687395095825,SGD,28
56,98,77.919,bo,0.678900,0.240222,2538,plain,1,8,128,0.01,16,10,0.0,Adam,16
57,99,78.985,bo,0.717300,0.335049,5898,plain,1,32,128,0.004450676282138196,16,10,0.0,Adam,16
58,100,74.708,bo,0.667600,0.228356,2538,plain,1,8,128,0.01,64,10,0.16273696032835688,Adam,16
59,101,45.432,bo,0.868100,0.763337,70186,plain,4,16,128,0.004160390818437323,16,5,0.5,Adam,28
60,102,48.352,bo,0.858400,1.063028,258762,plain,4,32,128,0.01,16,5,0.0,Adam,28
61,103,47.648,bo,0.628500,0.223239,2538,plain,1,8,128,0.01,16,6,0.14136800471735264,Adam,16
62,104,46.068,bo,0.793800,0.516248,4762,plain,2,8,128,0.01,16,5,0.0,Adam,16
63,105,37.134,bo,0.608400,0.304348,3658,plain,1,16,128,0.01,64,5,0.20458175616257532,Adam,28
64,106,74.636,bo,0.591400,0.374978,5898,plain,1,32,128,0.01,16,10,0.5,SGD,28
65,107,88.298,bo,0.859300,1.036032,20826,plain,4,8,128,0.003441925613087876,16,10,0.4489589779247227,Adam,16
66,108,52.126,bo,0.863100,0.788541,20826,plain,4,8,128,0.0023290567086339036,16,5,0.5,Adam,28
67,109,39.485,bo,0.728000,0.399432,4762,plain,2,8,128,0.002651187548010582,64,5,0.0,Adam,16
68,110,71.567,bo,0.747200,0.356314,4762,plain,2,8,128,0.01,64,10,0.0,Adam,16
69,111,77.880,bo,0.725000,0.436200,10410,plain,2,16,128,0.001928897194894207,16,10,0.25426702983001803,Adam,28
70,112,48.486,bo,0.848200,0.841239,70186,plain,4,16,128,0.002851585680100089,16,5,0.22952635732103832,Adam,16
71,113,46.327,bo,0.833700,0.803150,20826,plain,4,8,128,0.006031170719993959,16,5,0.0,SGD,16
72,114,64.148,bo,0.834100,0.507374,28618,plain,2,32,128,0.0028770876821068024,16,7,0.0,Adam,16
73,115,79.020,bo,0.698500,0.356161,5898,plain,1,32,128,0.01,16,10,0.21698102196593283,SGD,16
74,116,63.550,bo,0.766500,0.756498,20826,plain,4,8,128,3.7515458304226596e-05,16,7,0.4014703035354614,Adam,16
75,117,58.771,bo,0.501600,0.284642,5898,plain,1,32,128,0.00010552487062066718,16,8,0.330217570066452,Adam,16
76,118,79.348,bo,0.698900,0.275032,3658,plain,1,16,128,0.01,16,10,0.0,Adam,16
77,119,71.408,bo,0.637100,0.261439,2538,plain,1,8,128,0.01,64,10,0.20240296130237068,Adam,16
78,120,68.252,bo,0.697000,0.320444,5898,plain,1,32,128,0.01,64,10,0.0,Adam,16
79,121,71.528,bo,0.640000,0.233998,2538,plain,1,8,128,0.01,64,10,0.14968781475643836,SGD,16
